company,site,category,contact_name,email,all_emails
Verbox,https://verbox.ru/,Live chat,,office@verbox.ru,office@verbox.ru
Teachbase,https://teachbase.ru/,LMS,,info@teachbase.ru,info@teachbase.ru; marketing@teachbase.ru; help@teachbase.ru; accounting@teachbase.ru
Postoplan,https://postoplan.app/,SMM automation,,,
LiveTex,https://livetex.ru/,Live chat,,partners@livetex.ru,partners@livetex.ru; hello@livetex.ru; marketing@livetex.ru; pr@livetex.ru; support@livetex.ru
Huntflow,https://huntflow.ru/,ATS / HR,,,
InSales,https://www.insales.ru/,eCommerce platform,,partners@insales.ru,partners@insales.ru; sales@insales.ru; info@insales.ru; pr@insales.ru; docs@insales.ru; events@insales.ru; depmarketing@insales.ru
Topvisor,https://topvisor.com/ru/,SEO analytics,,support@topvisor.com,support@topvisor.com
WebIM,https://webim.ru/,Omni chat,,sales@webim.ru,sales@webim.ru; contact@webim.ru
Talk-Me,https://talk-me.ru/,Live chat,,office@talk-me.ru,office@talk-me.ru
Flexbe,https://flexbe.com/,Site builder,,info@flexbe.com,info@flexbe.com
iSpring,https://www.ispring.ru/,LMS / corp learning,,,
Beget,https://beget.com/ru,Hosting,,sales@beget.com,sales@beget.com; support@beget.com; bills@beget.com; manager@beget.com; abuse@beget.com; feedback@beget.com
AdvantShop,https://www.advantshop.net/,eCommerce platform,,partners@advantshop.net,partners@advantshop.net; support@advantshop.net
Selectel,https://selectel.ru/,Cloud / hosting,,sales@selectel.ru,sales@selectel.ru; pr@selectel.ru; support@selectel.ru; ir@selectel.ru
LPgenerator,https://lpgenerator.ru/,Landing builder,,,
Tilda,https://tilda.cc/ru/,Site builder,,team@tilda.cc,team@tilda.cc
Servercore,https://servercore.com/ru/,Cloud infra,,hello@servercore.com,hello@servercore.com; pr@servercore.com; support@servercore.com
BI.ZONE,https://bi.zone/,Cybersecurity,,info@bi.zone,info@bi.zone; cert@bi.zone
Cleversite,https://cleversite.ru/,Live chat,,support@cleversite.ru,support@cleversite.ru
МойСклад,https://www.moysklad.ru/,Inventory / ERP,,partners@moysklad.ru,partners@moysklad.ru; support@moysklad.ru; mkt@moysklad.ru
СБИС,https://sbis.ru/,EDM / accounting,,partners@tensor.ru,partners@tensor.ru; sales@9-33.ru; sales@garant-nw.ru; info@sbis.site; info@orange-sbis.ru; info@tensor-sbis.ru; info@sbis-sbis.ru; info@biz-l.ru; info@runfin.ru; info@rlsoft.ru; info@sbis.su; info@reg-uk.ru; info@saby-sbis.ru; info@ubf-corp.com; info@sbisplus24.ru; info@ontax.ru; info@95sbis.ru; info@futuraudit.ru; help@s-s.help; info1@msk.tensor.ru; pravservice@pravservice.ru; invariantno@mail.ru; andrey@fbc.ru; gris86@ya.ru; s.aleksandrov@sbisplus24.ru; sale@sbisinfo.ru; ldocs07@mail.ru; tensor@tensor.ru; finansovaya_feya2025@mail.ru; sva@runfin.ru; sitisoft@sbismsk.ru; msk-co@abt.ru; findebet@bk.ru; vk@sbisplus24.ru; sbis.msk@mail.ru; msk@udcs.ru; killness@mail.ru; s.ivanov@ereports.ru; tp@sbiso.ru; variant.sbis@bk.ru; yakunin@inspro.ru; 1c@belk-it.ru; soft@softum.ru; sbis@zelotchet.ru; business_07@mail.ru; cbrf77@bk.ru; d.grigorev@sbisplus24.ru; eo-msk@abt.ru; stasfox@mail.ru; moscow@parc.com.ru; ris86@ya.ru; finfairy7@yandex.ru; vip.qwerty114@mail.ru; sbis@elcode.ru; aag77@list.ru; sbis@gprava.ru; msk@s-s.pw; 1022d@mail.ru; ir.aredova2017@yandex.ru; mk@alta.ir; 1c@eprof.ru; sbis@sbiseo.ru; hr@tensor.ru
Reg.ru,https://www.reg.ru/,Domains / hosting,,,
Positive Technologies,https://www.ptsecurity.com/ru-ru/,Cybersecurity,,,
UIS,https://www.uiscom.ru/,Telephony / CC,,info@uiscom.ru,info@uiscom.ru; press@uiscom.ru
OnlinePBX,https://www.onlinepbx.ru/,Cloud PBX,,partner@onlinepbx.ru,partner@onlinepbx.ru; support@onlinepbx.ru; go@onlinebx.ru; go@onlinepbx.ru; fin@onlinepbx.ru
Timeweb,https://timeweb.com/,Cloud / hosting,,,
Anketolog,https://anketolog.ru/,Surveys,,rating@mail.ru,rating@mail.ru
Solar,https://rt-solar.ru/,Cybersecurity,,pr@rt-solar.ru,pr@rt-solar.ru; solar@rt-solar.ru; test@test.ru
DocsInBox,https://docsinbox.ru/,EDM HoReCa,,sales@docsinbox.ru,sales@docsinbox.ru; info@docsinbox.ru; pr@docsinbox.ru
DocsVision,https://docsvision.com/,Document mgmt,,,
Zadarma,https://zadarma.com/ru/,Cloud PBX,,manage@zadarma.com,manage@zadarma.com
Aspro,https://aspro.ru/,Business platform,,info@aspro.ru,info@aspro.ru
Wrike,https://www.wrike.com/ru/,Project mgmt,,name@company.com,name@company.com
Контур,https://kontur.ru/,Accounting / EDM,,,
Testograf,https://www.testograf.ru/,Surveys,,info@testograf.ru,info@testograf.ru
